severity	dim	location	title	fix	effort	confidence
2	D7	.github/（无 dependabot.yml/renovate.json）	无自动依赖更新，Vite/uvicorn 显著滞后没有机器人驱动升级与 CVE 提醒	新增 .github/dependabot.yml（python-uv + npm，weekly）	S	certain
2	D7	frontend/package.json:56	vite ^4.4.5（lock 钉 4.5.14）落后 4 个大版本，构建链安全修复长期缺失	vite 升 ^7/^8 + @vitejs/plugin-vue 同步升级，重跑 build 验证	M	certain
2	D7	pyproject.toml deps	uvicorn==0.24.0 硬钉（最新 0.52），python-jose（2021 停更）/passlib（2020 停更）仍在依赖	放开 uvicorn>=0.30，迁 PyJWT + bcrypt 直连	M	certain
2	D8	.githooks/commit-msg	commit-msg hook 已入库但依赖本机 core.hooksPath，fresh clone 无任何 hook、无安装脚本	新增 .githooks/install.sh 写 core.hooksPath=.githooks，并在文档/CI 调用	S	certain
2	D8	scripts/check.sh:113-121 run_backend_audit()	check.sh 后端依赖审计（pip-audit）未像 run_backend 其余步骤一样走 test-runtime 容器，而是直接在宿主机调用 uv；宿主机 PATH 无 uv 即静默 SKIP	改为 docker compose --profile test run --rm test sh -lc "uv tool run pip-audit ..."（test 镜像已实测含 uv 0.12.4），与 collect/compile/tests 一致	S	certain
2	D8	scripts/line_guard.sh + backend/tests	line-guard 只扫 backend/app 与 frontend/src，不覆盖 backend/tests（test_react_loop.py 3728 行、test_chat.py 2038、test_langgraph_workflows.py 1400、test_pipeline_e2e.py 1160）	把 backend/tests 纳入 line_guard（可设更高上限），并计划拆分超大测试文件	M	certain
2	D9	backend/app/db/ 6 套队列表	任务持久化碎片化：jobs+payloads / analysis_queue / cluster_review_tasks / distribution_refresh_jobs / side_effect_jobs / task_logs	新任务类型优先复用 jobs 表；存量表冻结；评估留存清理	L	probable
2	D9	backend/app/routers/chat.py:450-454	chat 加载关联 JD SELECT content FROM jd WHERE id=? 未过滤 deleted_at，软删 JD 内容仍进 LLM 上下文	加 AND deleted_at IS NULL	S	certain
2	D9	backend/app/services/email_service.py:81/159/216	datetime.now() 本地 naive 时间处理	统一 tz-aware UTC	M	needs-verification
2	D9	backend/app/services/fts_service.py:70-76	_idf_cache 模块级缓存，需确认 delete_fts_entry 路径也重置，否则 RRF 权重陈旧	在 delete_fts_entry 路径也重置 _idf_cache	S	needs-verification
2	D9	backend/data/ + backups/	备份与生产库同盘同卷（SPOF），backups/ 残留裸 cp 的 -wal/-shm	备份移出生产 data 卷并多轮归档；清理残留文件	M	probable
1	D1	backend/app/services/pipeline/batch_v2.py	batch_v2 为死模块：生产零调用，仅测试 inspect.getsource 引用其行为作回归	删除模块并把回归点固化为契约注释，或显式标 deprecated	S	certain
1	D14	backend/app/agents/chat/react_loop.py:536-543	死代码：return False 之后 logger.info 引用未定义 tool_names，不可达	删除不可达代码块	S	certain
1	D14	backend/app/services/cluster_review_lifecycle.py:721-730	except 变量 exc 在 to_thread 嵌套函数闭包中引用（实测运行正常，保守）	将 str(exc) 在 except 块内预求值为默认参数 err=str(exc)	S	needs-verification
1	D15	frontend/src/views/PracticeDecksView.vue:51 + SiteHeader.vue:99	自定义题单删除仍用原生 window.confirm	改用 useConfirm()/ConfirmDialog（已有 7 组件先例）	S	certain
1	D16	frontend/src/components/business/PracticeStarChart.vue:47-103 + PracticeQuadChart.vue:33-84	两个图表组件绕过 src/utils/chartTokens.js 内联重复同一套 hex	改 import { porcelain } from '@/utils/chartTokens.js'	S	certain
1	D2	backend/CLAUDE.md:65	文档声称 asgi.py 有 22 次 include_router，实际 23 次 include_router + 1 次 app.mount("/mcp")	更新计数为 23 并补述 MCP mount	S	certain
